submission_id,question_id,question,user_answer,correct_answer,is_correct,explanation,category
apt-sub-56d94b9a,q8,"If 5 workers can complete a job in 12 days, how many days will 10 workers take?",Not Answered,6 days,false,Work = Workers × Days. 5 × 12 = 60. For 10 workers: 60/10 = 6 days,Work & Time
apt-sub-56d94b9a,q9,"What comes next: A, C, E, G, ?",Not Answered,I,false,"Alternate letters of the alphabet: A(1), C(3), E(5), G(7), I(9)",Letter Series
apt-sub-56d94b9a,q10,"A man walks 5 km North, then 3 km East. How far is he from his starting point?",Not Answered,√34 km,false,Using Pythagorean theorem: √(5² + 3²) = √(25+9) = √34 km,Direction Sense
apt-sub-78284fac,q1,Choose the synonym of 'Abundant':,Scarce,Plentiful,false,"Abundant means plenty or more than enough, which is synonymous with Plentiful.",Synonyms
apt-sub-78284fac,q2,Choose the antonym of 'Benevolent':,Kind,Malevolent,false,Benevolent means kind and generous. Malevolent means having evil intentions.,Antonyms
apt-sub-78284fac,q3,Identify the correctly spelled word:,Accommodation,Accommodation,true,The correct spelling has double 'c' and double 'm'.,Spelling
apt-sub-78284fac,q4,Fill in the blank: She ____ to the office every day.,Not Answered,goes,false,"'She' is third person singular, so the verb takes 's' - 'goes'.",Grammar
apt-sub-78284fac,q5,What is the meaning of the idiom 'Break the ice'?,Not Answered,To start a conversation,false,'Break the ice' means to initiate conversation or reduce tension in a social situation.,Idioms
apt-sub-78284fac,q6,Arrange in correct order: 1. Larva 2. Egg 3. Butterfly 4. Pupa,Not Answered,"2, 1, 4, 3",false,Life cycle of butterfly: Egg → Larva → Pupa → Butterfly,Logical Sequence
apt-sub-78284fac,q7,Choose the correct sentence:,Not Answered,He doesn't like coffee,false,"With 'doesn't', the main verb stays in base form.",Sentence Correction
apt-sub-78284fac,q8,Which word is spelled incorrectly?,Not Answered,Definately,false,The correct spelling is 'Definitely' not 'Definately'.,Spelling
apt-sub-ea5c5660,q1,Choose the synonym of 'Abundant':,Not Answered,Plentiful,false,"Abundant means plenty or more than enough, which is synonymous with Plentiful.",Synonyms
apt-sub-ea5c5660,q2,Choose the antonym of 'Benevolent':,Not Answered,Malevolent,false,Benevolent means kind and generous. Malevolent means having evil intentions.,Antonyms
apt-sub-ea5c5660,q3,Identify the correctly spelled word:,Not Answered,Accommodation,false,The correct spelling has double 'c' and double 'm'.,Spelling
apt-sub-ea5c5660,q4,Fill in the blank: She ____ to the office every day.,Not Answered,goes,false,"'She' is third person singular, so the verb takes 's' - 'goes'.",Grammar
apt-sub-ea5c5660,q5,What is the meaning of the idiom 'Break the ice'?,Not Answered,To start a conversation,false,'Break the ice' means to initiate conversation or reduce tension in a social situation.,Idioms
apt-sub-ea5c5660,q6,Arrange in correct order: 1. Larva 2. Egg 3. Butterfly 4. Pupa,Not Answered,"2, 1, 4, 3",false,Life cycle of butterfly: Egg → Larva → Pupa → Butterfly,Logical Sequence
apt-sub-ea5c5660,q7,Choose the correct sentence:,Not Answered,He doesn't like coffee,false,"With 'doesn't', the main verb stays in base form.",Sentence Correction
apt-sub-ea5c5660,q8,Which word is spelled incorrectly?,Not Answered,Definately,false,The correct spelling is 'Definitely' not 'Definately'.,Spelling
